departamento,codigo_departamento,municipio,codigo_municipio,poblacion,1/1/2021,1/2/2021
ALTA VERAPAZ,16,FRAY BARTOLOME DE LAS CASAS,1615,76047,0,0
IZABAL,18,LOS AMATES,1805,63841,0,0
RETALHULEU,11,SANTA CRUZ MULUA,1103,15835,0,0
GUATEMALA,1,SAN RAYMUNDO,111,38386,0,0
HUEHUETENANGO,13,NENTON,1305,49299,0,0
QUICHE,14,SANTA CRUZ DEL QUICHE,1401,97974,0,0
PETEN,17,SAYAXCHE,1710,97003,0,0
ZACAPA,19,GUALAN,1904,49410,0,0
CHIMALTENANGO,4,YEPOCAPA,412,41304,0,0
RETALHULEU,11,NUEVO SAN CARLOS,1108,41552,0,0
HUEHUETENANGO,13,COLOTENANGO,1319,43622,0,0
ZACAPA,19,USUMATLAN,1906,13071,0,0
QUETZALTENANGO,9,GENOVA,921,45162,0,0
SANTA ROSA,6,ORATORIO,606,26686,0,0
CHIMALTENANGO,4,PATZICIA,409,39337,0,0
SOLOLA,7,SAN ANDRES SEMETABAJ,709,14640,0,0
QUETZALTENANGO,9,CABRICAN,906,27307,0,0
CHIQUIMULA,20,ESQUIPULAS,2007,55723,0,0
ESCUINTLA,5,GUANAGAZAPA,508,17234,0,0
SANTA ROSA,6,GUAZACAPAN,611,21906,0,0
QUICHE,14,SACAPULAS,1416,54845,0,0
TOTONICAPAN,8,MOMOSTENANGO,805,136909,0,0
SAN MARCOS,12,EL RODEO,1214,19080,0,0
CHIQUIMULA,20,JOCOTAN,2004,73093,0,0
SOLOLA,7,SAN PEDRO LA LAGUNA,718,11600,0,0
TOTONICAPAN,8,SAN ANDRES XECUL,804,29356,0,0
QUETZALTENANGO,9,SAN MARTIN SACATEPEQUEZ,912,32771,0,0
QUETZALTENANGO,9,SAN MATEO,910,8658,0,0
HUEHUETENANGO,13,SAN RAFAEL PETZAL,1328,12330,0,0
JALAPA,21,SAN PEDRO PINULA,2102,76020,0,0
SAN MARCOS,12,CONCEPCION TUTUAPA,1206,82876,0,0
SOLOLA,7,SAN LUCAS TOLIMAN,713,31581,0,0
SAN MARCOS,12,EL QUETZAL,1220,25475,0,0
CHIMALTENANGO,4,SAN MARTIN JILOTEPEQUE,403,92103,0,0
QUETZALTENANGO,9,SAN FRANCISCO LA UNION,918,9361,0,0
HUEHUETENANGO,13,SAN ILDELFONSO IXTAHUACAN,1309,54382,0,0
QUICHE,14,SAN PEDRO JOCOPILAS,1409,37419,0,0
SUCHITEPEQUEZ,10,SAN JOSE EL IDOLO,1005,11870,0,0
SAN MARCOS,12,SAN ANTONIO SACATEPEQUEZ,1203,20579,0,0
PETEN,17,POPTUN,1712,66883,0,0
ALTA VERAPAZ,16,RAXRUHA,1617,39350,0,0
PETEN,17,MELCHOR DE MENCOS,1711,30017,0,0
SACATEPEQUEZ,3,SANTA CATARINA BARAHONA,316,4480,0,0
IZABAL,18,EL ESTOR,1803,81385,0,0
SUCHITEPEQUEZ,10,ZUNILITO,1018,8724,0,0
SAN MARCOS,12,ESQUIPULAS PALO GORDO,1227,13785,0,0
ZACAPA,19,ESTANZUELA,1902,10859,0,0
CHIMALTENANGO,4,POCHUTA,408,10996,0,0
RETALHULEU,11,SAN SEBASTIAN,1102,30444,0,0
BAJA VERAPAZ,15,SAN MIGUEL CHICAJ,1502,35895,0,0
CHIMALTENANGO,4,SAN JUAN COMALAPA,404,58174,0,0
PETEN,17,SANTA ANA,1707,23499,0,0
JUTIAPA,22,ATESCATEMPA,2207,19514,0,0
SUCHITEPEQUEZ,10,SAN LORENZO,1007,13811,0,0
CHIQUIMULA,20,IPALA,2011,23435,0,0
JUTIAPA,22,COMAPA,2211,36047,0,0
ZACAPA,19,LA UNION,1909,38270,0,0
TOTONICAPAN,8,SANTA LUCIA LA REFORMA,807,25461,0,0
QUICHE,14,CANILLA,1418,12577,0,0
SOLOLA,7,SAN JOSE CHACAYA,702,5128,0,0
ALTA VERAPAZ,16,SENAHU,1608,97296,0,0
PETEN,17,SAN LUIS,1709,76128,1,0
ALTA VERAPAZ,16,PANZOS,1607,79777,0,0
ZACAPA,19,SAN JORGE,1911,13384,0,0
SOLOLA,7,SAN ANTONIO PALOPO,712,15639,0,0
SOLOLA,7,NAHUALA,705,91523,0,0
HUEHUETENANGO,13,SANTA ANA HUISTA,1331,10225,0,0
HUEHUETENANGO,13,SAN RAFAEL LA INDEPENDENCIA,1314,18222,0,0
